Uuid,Void/Retire,Name,Description,Parent,Tags,Tag|Facility Location,Attribute|9eca4f4e-707f-4bb8-8289-2f9b6e93803c,Attribute|Last Audit Date,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6,City/Village,County/District,State/Province,Postal Code,Country,_order:1000
b0c66529-c041-4753-b197-10cf6bdc3ddf,,10218. សិលាខ្មែរ_HC,10218. សិលាខ្មែរ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
f4f304a4-41c7-40e8-ab15-1750c2a5a5c8,,10219. សំរោង_HC,10219. សំរោង_HC,,Login Location,TRUE,,,,,,,,,,,,,,
5f7e8e11-4670-4d42-8342-03cb1d1fe1f5,,10223. មន្ទីរពេទ្យបង្អែកអូរជ្រៅ_RH,10223. មន្ទីរពេទ្យបង្អែកអូរជ្រៅ_RH,,Login Location,TRUE,,,,,,,,,,,,,,
d45bc546-9482-49ac-afea-3f79c37f3567,,10225. ចង្ហា_HC,10225. ចង្ហា_HC,,Login Location,TRUE,,,,,,,,,,,,,,
d65bc1d7-a169-4070-a654-724d1d2bc9f7,,10301. មន្ទីរពេទ្យបង្អែកព្រះនេត្រព្រះ_RH,10301. មន្ទីរពេទ្យបង្អែកព្រះនេត្រព្រះ_RH,,Login Location,TRUE,,,,,,,,,,,,,,
e78c7717-425f-48aa-9e31-ad0e63a047b2,,10302. ឈ្នួរមានជ័យ_HC,10302. ឈ្នួរមានជ័យ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
56679acd-70c8-497c-99f0-e76a139d6f31,,10303. ព្រះ​នេត្រ​ព្រះ_HC,10303. ព្រះ​នេត្រ​ព្រះ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
b219fcd9-632d-4d6f-9ed7-a8f27ee3451c,,10304. រហាល_HC,10304. រហាល_HC,,Login Location,TRUE,,,,,,,,,,,,,,
0312ab96-df51-478a-a648-5157b7b79127,,10305. ភ្នំលៀប_HC,10305. ភ្នំលៀប_HC,,Login Location,TRUE,,,,,,,,,,,,,,
be831844-b539-4919-9a79-d994e6f6b2ba,,10306. ទឹកជោរ_HC,10306. ទឹកជោរ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
da6f49e9-f67b-4204-86e8-99910a209486,,10307. ជប់វារី_HC,10307. ជប់វារី_HC,,Login Location,TRUE,,,,,,,,,,,,,,
3d428c35-ab53-4ead-a360-544a01337a0c,,10308. ប្រាសាទ_HC,10308. ប្រាសាទ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
1ae70ed8-1b6c-4357-a268-5256fe891926,,10309. ស្រះជីក_HCB,10309. ស្រះជីក_HCB,,Login Location,TRUE,,,,,,,,,,,,,,
af66ea0f-761e-461a-a078-984c6742e30d,,10310. ប៉ោយចារ_HC,10310. ប៉ោយចារ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
4117ec14-1c48-4e4b-93e2-a29803f25593,,10311. ភ្នំដី_HC,10311. ភ្នំដី_HC,,Login Location,TRUE,,,,,,,,,,,,,,
cacced95-4bb5-4586-8eda-d98cac0621e0,,10312. ពន្លៃ_HC,10312. ពន្លៃ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
83306d1e-9197-435b-9016-ca551e3e3ba8,,1031202. មន្ទីរពេទ្យបង្អែក​ភ្នំស្រុក_RH,1031202. មន្ទីរពេទ្យបង្អែក​ភ្នំស្រុក_RH,,Login Location,TRUE,,,,,,,,,,,,,,
3334d50b-95a1-432d-82e8-3b19b604af58,,1031203. ពន្លៃ២_HC,1031203. ពន្លៃ២_HC,,Login Location,TRUE,,,,,,,,,,,,,,
bee2874b-18b1-4987-bcc0-747e60748edd,,10313. ណាំតៅ_HC,10313. ណាំតៅ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
feab7a47-4bf9-482e-9562-2c9de48b51c4,,10319. ទានកាំ_HC,10319. ទានកាំ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
8fff58f7-7048-43a2-8337-3155212fb58c,,10320. ស្ពានស្រែង_HC,10320. ស្ពានស្រែង_HC,,Login Location,TRUE,,,,,,,,,,,,,,
fd689deb-04f8-4307-9f0d-1b63979ae3fc,,10401. មន្ទីរពេទ្យបង្អែកថ្មពួក_RH,10401. មន្ទីរពេទ្យបង្អែកថ្មពួក_RH,,Login Location,TRUE,,,,,,,,,,,,,,
c0b6a710-f0cb-46fa-823a-46d2f4dc0536,,10402. គំរូ_HC,10402. គំរូ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
04d51ea9-540a-431c-b093-e3ffed3df04e,,10403. គោករមៀត_HC,10403. គោករមៀត_HC,,Login Location,TRUE,,,,,,,,,,,,,,
5aee4c06-fc4b-4b58-9018-e38484a0183b,,10404. បន្ទាយឆ្មារ_HC,10404. បន្ទាយឆ្មារ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
352cd3c0-e56c-48c8-b455-b0bf30a9e3fd,,10405. បឹងត្រកួន_HC,10405. បឹងត្រកួន_HC,,Login Location,TRUE,,,,,,,,,,,,,,
e589c4a8-a523-4974-a1f8-f98830b08047,,10406. ទ្រាស_HC,10406. ទ្រាស_HC,,Login Location,TRUE,,,,,,,,,,,,,,
43ad8103-fa08-4a98-8f74-accc7396c18b,,10408. ស្លក្រាម_HC,10408. ស្លក្រាម_HC,,Login Location,TRUE,,,,,,,,,,,,,,
c9b0675f-9837-47e9-be48-3989608563c5,,1040801. ចក់ពួក_HC,1040801. ចក់ពួក_HC,,Login Location,TRUE,,,,,,,,,,,,,,
98f853f9-75e4-466a-845a-db7ae958d1a0,,1040802. មន្ទីរពេទ្យបង្អែកស្វាយចេក_RH,1040802. មន្ទីរពេទ្យបង្អែកស្វាយចេក_RH,,Login Location,TRUE,,,,,,,,,,,,,,
396abcd7-abb7-4d96-8ef5-4b24bf57d684,,1040803. រលួស_HC,1040803. រលួស_HC,,Login Location,TRUE,,,,,,,,,,,,,,
c947c5f8-ba8b-4c06-bfcc-3847034dd945,,10409. តាផូ_HC,10409. តាផូ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
d946a824-e283-4e7b-95dd-9d418a9c7b96,,10410. ផ្គាំ_HC,10410. ផ្គាំ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
c79b0e54-2b35-4c11-a34f-60cae130565f,,10411. ភូមិថ្មី_HC,10411. ភូមិថ្មី_HC,,Login Location,TRUE,,,,,,,,,,,,,,
5ee99718-2551-4303-8ba3-d4ce91121816,,10412. សារង្គ_HC,10412. សារង្គ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
e58102a4-c5ff-400f-8b37-7a78c2b2f923,,10413. គោកកឋិន_HC,10413. គោកកឋិន_HC,,Login Location,TRUE,,,,,,,,,,,,,,
eb342d2c-f379-4767-911c-87688985227a,,10501. មន្ទីរពេទ្យបង្អែកសិរីសោភ័ណ_RH,10501. មន្ទីរពេទ្យបង្អែកសិរីសោភ័ណ_RH,,Login Location,TRUE,,,,,,,,,,,,,,
f42acf41-9171-42f7-bef8-7041ecf0d668,,10502. កោះពងសត្វ_HC,10502. កោះពងសត្វ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
888a0bdf-2e04-4d2b-b904-663a31d87051,,10503. ភ្នៀត_HC,10503. ភ្នៀត_HC,,Login Location,TRUE,,,,,,,,,,,,,,
1706afa4-f5ff-48a4-9ccb-ea6964ae511c,,10504. កំពង់ស្វាយ ២_HC,10504. កំពង់ស្វាយ ២_HC,,Login Location,TRUE,,,,,,,,,,,,,,
f20d7cf8-ff23-410c-9fd1-6a8581de99db,,10505. កំពង់ស្វាយ_HC,10505. កំពង់ស្វាយ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
f5061b86-693a-4c22-8621-203334aebc51,,10506. ព្រះពន្លា_HC,10506. ព្រះពន្លា_HC,,Login Location,TRUE,,,,,,,,,,,,,,
ca513e5e-55ad-4f6b-ae71-1491c8c11aa0,,10507. អូរអំបិល_HC,10507. អូរអំបិល_HC,,Login Location,TRUE,,,,,,,,,,,,,,
311f962b-fb34-4a47-8d25-598430bc5f20,,10508. ទឹកថ្លា_HC,10508. ទឹកថ្លា_HC,,Login Location,TRUE,,,,,,,,,,,,,,
0411259d-5107-4a98-b3e3-0e56277a3e29,,10509. ម្កាក់_HC,10509. ម្កាក់_HC,,Login Location,TRUE,,,,,,,,,,,,,,
c849fecb-b6ab-48d9-9f8b-34eef59e9cc9,,10601. មន្ទីរពេទ្យបង្អែកម៉ាឡៃសន្តិភាព_RH,10601. មន្ទីរពេទ្យបង្អែកម៉ាឡៃសន្តិភាព_RH,,Login Location,TRUE,,,,,,,,,,,,,,
56e211cf-e992-498f-aa15-e03b308f18ab,,10602. ម៉ាឡៃ_HCB,10602. ម៉ាឡៃ_HCB,,Login Location,TRUE,,,,,,,,,,,,,,
bd318903-4660-4322-82a8-ff50ecec5747,,10603. បល័្គង_HC,10603. បល័្គង_HC,,Login Location,TRUE,,,,,,,,,,,,,,
db5bc238-cbb9-4850-b303-02cb7f57b3d4,,10604. បឹងបេង_HC,10604. បឹងបេង_HC,,Login Location,TRUE,,,,,,,,,,,,,,
f4a72219-e61a-4959-8c76-c77d31c5ac50,,10605. អូរសំព័រ_HC,10605. អូរសំព័រ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
e47deada-9ce8-4050-b9cb-180d5de75584,,10606. អូរស្រទ្បៅ_HC,10606. អូរស្រទ្បៅ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
d5344461-f05d-443d-ab06-d0c397143205,,10607. ទួលពង្រ_HC,10607. ទួលពង្រ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
cb488a32-5f6e-4071-822c-a83904d9b4ef,,110101. មន្ទីរពេទ្យខេត្តមណ្ឌលគីរី_PH,110101. មន្ទីរពេទ្យខេត្តមណ្ឌលគីរី_PH,,Login Location,TRUE,,,,,,,,,,,,,,
874eef29-e92d-4d3b-b314-19f61d711985,,110102. សែនមនោរម្យ_HC,110102. សែនមនោរម្យ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
d49e961a-8f79-4741-9149-5158442d764c,,110103. កោះញែក_HC,110103. កោះញែក_HC,,Login Location,TRUE,,,,,,,,,,,,,,
13ea5433-cd4a-4ac0-8ea9-d934b5f31c28,,110104. ពេជ្រាដា_HCB,110104. ពេជ្រាដា_HCB,,Login Location,TRUE,,,,,,,,,,,,,,
87c32055-91a9-47d3-bdca-f408678923b3,,110105. អូររាំង_HCB,110105. អូររាំង_HCB,,Login Location,TRUE,,,,,,,,,,,,,,
8598cc62-14f1-4596-8c71-bf335d81b782,,110106. កែវសីមា_HCB,110106. កែវសីមា_HCB,,Login Location,TRUE,,,,,,,,,,,,,,
c170bd9c-c5a5-46f4-87db-4ed7d68eb69c,,110107. មេម៉ង់_HCB,110107. មេម៉ង់_HCB,,Login Location,TRUE,,,,,,,,,,,,,,
08937017-97d0-4521-9bed-47c54f905d90,,11010702. មន្ទីរពេទ្យបង្អែកកោះញែក_RH,11010702. មន្ទីរពេទ្យបង្អែកកោះញែក_RH,,Login Location,TRUE,,,,,,,,,,,,,,
92ed3f2b-f0f4-4654-b0b3-efeff6d6578b,,110109. អូអាម_HC,110109. អូអាម_HC,,Login Location,TRUE,,,,,,,,,,,,,,
20c4712c-8eea-4a29-92cf-1a8a048de4b1,,110115. ពូជ្រៃ_HC,110115. ពូជ្រៃ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
059f8922-f525-420c-9891-83baf75953da,,110118. ដាក់ដាំ_HC,110118. ដាក់ដាំ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
89c8b005-1dbb-4e11-930f-15966eb95589,,110120. ក្រងតេះ_HC,110120. ក្រងតេះ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
d024a932-8aae-4548-9665-e4ddacb45905,,110121. ទួល_HC,110121. ទួល_HC,,Login Location,TRUE,,,,,,,,,,,,,,
8cb2d654-6c5a-4159-8066-2ee893f83d7a,,120101. មន្ទីរពេទ្យបង្អែកសម្តេចឪ_RH,120101. មន្ទីរពេទ្យបង្អែកសម្តេចឪ_RH,,Login Location,TRUE,,,,,,,,,,,,,,
1532bb20-0e30-4488-9483-543c2365c07d,,120102. គីឡូម៉ែត្រលេខ ៩_HC,120102. គីឡូម៉ែត្រលេខ ៩_HC,,Login Location,TRUE,,,,,,,,,,,,,,
58700e1e-e751-460c-bcc0-a1e03e9de1a6,,120103. ជ្រោយចង្វារ_HC,120103. ជ្រោយចង្វារ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
f384952a-eb62-4654-8983-ed77ebcc8b80,,120104. កោះដាច់_HC,120104. កោះដាច់_HC,,Login Location,TRUE,,,,,,,,,,,,,,
6570a84c-aa3e-4500-b33c-ec046b6618f7,,120105. គីឡូម៉ែត្រលេខ៦_HC,120105. គីឡូម៉ែត្រលេខ៦_HC,,Login Location,TRUE,,,,,,,,,,,,,,
0ee6eb99-9d70-4bc2-8b18-0732d5866d65,,120201. មន្ទីរពេទ្យបង្អែករាជធានីភ្នំពេញ_PH,120201. មន្ទីរពេទ្យបង្អែករាជធានីភ្នំពេញ_PH,,Login Location,TRUE,,,,,,,,,,,,,,
745496e7-71e8-43f7-9119-749447b42f50,,120202. ផ្សារដើមថ្កូវ_HC,120202. ផ្សារដើមថ្កូវ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
5f2ed7a3-a5a0-4775-90b5-10f9e798ddcf,,120203. ៧ មករា_HC,120203. ៧ មករា_HC,,Login Location,TRUE,,,,,,,,,,,,,,
7b1e9756-f982-42c1-bfb7-33748498f43b,,120204. ទួលស្វាយព្រៃ_HC,120204. ទួលស្វាយព្រៃ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
1cc149d1-a606-49c2-a0fd-b36dcc400cb4,,120205. ទួលគោក_HC,120205. ទួលគោក_HC,,Login Location,TRUE,,,,,,,,,,,,,,
d82e0284-68cf-401e-87cc-35c7b883c5bf,,120206. ដូនពេញ_HC,120206. ដូនពេញ_HC,,Login Location,TRUE,,,,,,,,,,,,,,
0a7b2903-1fa6-4052-a94b-641b82a87755,,120207. មន្ទីរពេទ្យបង្អែកចតុមុខ_RH,120207. មន្ទីរពេទ្យបង្អែកចតុមុខ_RH,,Login Location,TRUE,,,,,,,,,,,,,,
